geographic_school_district,children_5_17,poverty,linguistically_isolated,children_disability,vulnerable_job,single_parent,crowded_conditions,no_computer_internet
Rio Rancho Public Schools,18696,0.11959777492511767,0.025085579803166454,0.056857081728712025,0.35932819854514336,0.31824989302524603,0.025353016688061617,0.09552845528455285
Roswell Independent Schools,11622,0.16348304938908967,0.05893994149027706,0.024006195147134743,0.23171571158148338,0.3139734985372569,0.025468938220616074,0.18241266563414216
Roy Municipal Schools,13,0.15384615384615385,0,0,0.07692307692307693,0.7692307692307693,0,0
Ruidoso Municipal Schools,1841,0.16404128191200434,0.07115697990222705,0.06355241716458447,0.3020097772949484,0.24225964149918522,0.017925040738728953,0.13905486148832155
San Jon Municipal Schools,86,0.27906976744186046,0,0,0.26744186046511625,0.1744186046511628,0.03488372093023256,0.2441860465116279
Santa Fe Public Schools,16808,0.11530223702998572,0.0737743931461209,0.03081865778200857,0.27695145168967156,0.34483579247977153,0.02427415516420752,0.13404331270823416
Santa Rosa Consolidated Schools,652,0.22392638036809817,0,0,0.3067484662576687,0.3236196319018405,0.006134969325153374,0.13957055214723926
Silver City Consolidated Schools,3014,0.22262773722627738,0.007631055076310551,0.029528865295288653,0.23855341738553418,0.3241539482415395,0.021566025215660253,0.15593895155938953
Socorro Consolidated Schools,2281,0.2209557211749233,0.07715914072775099,0.02761946514686541,0.1687856203419553,0.313020604997808,0.01183691363437089,0.18062253397632616
Springer Municipal Schools,119,0.17647058823529413,0,0.025210084033613446,0.18487394957983194,0.31092436974789917,0.008403361344537815,0.29411764705882354
Taos Municipal Schools,3765,0.16281540504648073,0.03877822045152723,0.03399734395750332,0.29163346613545815,0.3200531208499336,0.012749003984063745,0.1399734395750332
Tatum Municipal Schools,264,0.2196969696969697,0.08712121212121213,0,0.21212121212121213,0.29545454545454547,0.04924242424242424,0.13636363636363635
Texico Municipal Schools,495,0.21212121212121213,0.06262626262626263,0.07272727272727272,0.1717171717171717,0.24848484848484848,0.044444444444444446,0.18787878787878787
Truth or Consequences Schools,1278,0.32003129890453835,0,0.026604068857589983,0.17683881064162754,0.32003129890453835,0.003129890453834116,0.15336463223787167
Tucumcari Public Schools,1070,0.23457943925233646,0,0.044859813084112146,0.2588785046728972,0.36728971962616824,9.345794392523365e-4,0.09345794392523364
Tularosa Municipal Schools,1410,0.15177304964539007,0,0.029078014184397163,0.23900709219858157,0.4148936170212766,0.024113475177304965,0.14113475177304965
Vaughn Municipal Schools,17,0.35294117647058826,0,0,0.35294117647058826,0,0,0.29411764705882354
Wagon Mound Public Schools,59,0.2711864406779661,0,0,0.15254237288135594,0.3389830508474576,0,0.23728813559322035
West Las Vegas Public Schools,1184,0.2778716216216216,0.008445945945945946,0.08530405405405406,0.09543918918918919,0.34121621621621623,0.016891891891891893,0.17483108108108109
Zuni Public Schools,2177,0.21129995406522736,0.07303628847037207,0.01607717041800643,0.08773541570969223,0.3206247129076711,0.06293063849333946,0.2282958199356913
